股票	日期	成交量	前5日均量*2	筹码集中度	解套率
688653.SH 康希通信	2026-01-12	268216.000000	171150.000000	9.360700	94.072800
688653.SH 康希通信	2026-01-26	303466.000000	198082.400000	11.868100	90.051200
688691.SH 灿芯股份	2026-04-27	148520.000000	138405.600000	13.750000	92.738900
688693.SH 锴威特	2026-03-10	56115.000000	37955.600000	11.224500	95.189200
688720.SH 艾森股份	2025-12-15	143946.000000	67770.000000	11.979200	100.000000
688720.SH 艾森股份	2026-04-08	78429.000000	37274.400000	13.152400	91.010400
688727.SH 恒坤新材	2026-01-07	209984.000000	163472.400000	12.166200	99.996800
688795.SH 摩尔线程-U	2026-04-15	52352.000000	45201.600000	7.692300	92.303500
688795.SH 摩尔线程-U	2026-04-27	57744.000000	51940.400000	11.154600	93.139600
688802.SH 沐曦股份-U	2026-04-15	46520.000000	32476.400000	11.708300	96.459500
688802.SH 沐曦股份-U	2026-04-16	47517.000000	43081.600000	13.812200	99.981100
688809.SH 强一股份	2026-03-05	54642.000000	43750.000000	8.611600	96.243900
